CustomerID,Recency,Frequency,Monetary
12346,326,1.0,38.400000000000006
12347,3,6.0,2231.4350000000004
12348,76,3.0,820.2800000000001
12349,19,1.0,1412.6000000000001
12352,37,3.0,859.4300000000001
12353,205,1.0,87.60000000000001
12354,233,1.0,1045.88
12355,215,1.0,340.0
12356,23,3.0,1704.93
12357,34,1.0,2231.4350000000004
12358,2,2.0,526.6600000000001
12359,58,3.0,2231.4350000000004
12360,53,3.0,2222.56
12362,4,8.5,2231.4350000000004
12363,110,2.0,490.08000000000004
12364,8,4.0,1280.1
12367,5,1.0,168.9
12370,52,3.0,2148.3700000000003
12371,45,2.0,1467.66
12372,72,2.0,753.02
12374,26,1.0,647.71
12375,11,2.0,423.90000000000003
12377,355,1.0,916.9200000000001
12378,130,1.0,2231.4350000000004
12379,82,2.0,805.44
12380,22,4.0,2140.67
12381,5,5.0,1570.91
12383,185,4.0,1424.25
12384,29,2.0,502.07000000000005
12386,338,2.0,297.90000000000003
12388,16,4.0,2113.9900000000002
12390,80,1.0,543.24
12391,22,1.0,439.66
12393,73,4.0,1423.9
12394,64,2.0,611.48
12395,20,8.5,2231.4350000000004
12397,36,2.0,2190.0
12398,46,1.0,1426.96
12399,120,3.0,771.5500000000001
12402,324,1.0,225.6
12403,50,1.0,161.10000000000002
12405,149,1.0,1289.2900000000002
12406,23,2.0,2231.4350000000004
12407,50,4.0,1294.18
12408,33,3.0,1514.8000000000002
12409,79,3.0,2231.4350000000004
12412,75,3.0,1162.74
12413,67,3.0,733.2
12414,218,2.0,329.85
12415,25,8.5,2231.4350000000004
12417,4,7.0,2231.4350000000004
12418,113,1.0,582.23
12420,64,1.0,597.79
12421,16,3.0,614.39
12422,96,3.0,721.96
12423,1,6.0,1297.33
12424,163,2.0,809.9200000000001
12425,79,1.0,690.0
12426,195,1.0,549.13
12427,22,3.0,701.5600000000001
12428,26,5.0,1839.8400000000001
12429,10,4.0,2231.4350000000004
12430,44,1.0,244.20000000000002
12431,36,8.5,2231.4350000000004
12432,43,5.0,2231.4350000000004
12433,1,7.0,2231.4350000000004
