CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346,326,1.0,38.400000000000006,0,VIP
12347,3,6.0,2231.4350000000004,2,Churn Risk
12348,76,3.0,820.2800000000001,1,Regular
12349,19,1.0,1412.6,1,Regular
12352,37,3.0,859.4300000000001,1,Regular
12353,205,1.0,87.60000000000001,0,VIP
12354,233,1.0,1045.88,0,VIP
12355,215,1.0,340.0,0,VIP
12356,23,3.0,1704.93,1,Regular
12357,34,1.0,2231.4350000000004,1,Regular
12358,2,2.0,526.6600000000001,3,Occasional
12359,58,3.0,2231.4350000000004,1,Regular
12360,53,3.0,2222.56,1,Regular
12362,4,8.5,2231.4350000000004,2,Churn Risk
12363,110,2.0,490.08,3,Occasional
12364,8,4.0,1280.1,1,Regular
12367,5,1.0,168.9,3,Occasional
12370,52,3.0,2148.3700000000003,1,Regular
12371,45,2.0,1467.66,1,Regular
12372,72,2.0,753.02,3,Occasional
12374,26,1.0,647.71,3,Occasional
12375,11,2.0,423.9,3,Occasional
12377,355,1.0,916.92,0,VIP
12378,130,1.0,2231.4350000000004,1,Regular
12379,82,2.0,805.44,3,Occasional
12380,22,4.0,2140.67,1,Regular
12381,5,5.0,1570.91,1,Regular
12383,185,4.0,1424.25,1,Regular
12384,29,2.0,502.0700000000001,3,Occasional
12386,338,2.0,297.90000000000003,0,VIP
12388,16,4.0,2113.99,1,Regular
12390,80,1.0,543.24,3,Occasional
12391,22,1.0,439.66,3,Occasional
12393,73,4.0,1423.9,1,Regular
12394,64,2.0,611.48,3,Occasional
12395,20,8.5,2231.4350000000004,2,Churn Risk
12397,36,2.0,2190.0,1,Regular
12398,46,1.0,1426.96,1,Regular
12399,120,3.0,771.5500000000001,3,Occasional
12402,324,1.0,225.6,0,VIP
12403,50,1.0,161.10000000000002,3,Occasional
12405,149,1.0,1289.2900000000002,1,Regular
12406,23,2.0,2231.4350000000004,1,Regular
12407,50,4.0,1294.18,1,Regular
12408,33,3.0,1514.8000000000002,1,Regular
12409,79,3.0,2231.4350000000004,1,Regular
12412,75,3.0,1162.74,1,Regular
12413,67,3.0,733.2,3,Occasional
12414,218,2.0,329.85,0,VIP
12415,25,8.5,2231.4350000000004,2,Churn Risk
12417,4,7.0,2231.4350000000004,2,Churn Risk
12418,113,1.0,582.23,3,Occasional
12420,64,1.0,597.79,3,Occasional
12421,16,3.0,614.39,3,Occasional
12422,96,3.0,721.96,3,Occasional
12423,1,6.0,1297.33,1,Regular
12424,163,2.0,809.9200000000001,3,Occasional
12425,79,1.0,690.0,3,Occasional
12426,195,1.0,549.13,0,VIP
12427,22,3.0,701.5600000000001,3,Occasional
12428,26,5.0,1839.84,1,Regular
12429,10,4.0,2231.4350000000004,1,Regular
12430,44,1.0,244.2,3,Occasional
12431,36,8.5,2231.4350000000004,2,Churn Risk
12432,43,5.0,2231.4350000000004,2,Churn Risk
12433,1,7.0,2231.4350000000004,2,Churn Risk
12434,85,1.0,513.29,3,Occasional
12435,80,1.0,652.8000000000001,3,Occasional
12436,100,1.0,437.56000000000006,3,Occasional
12437,2,8.5,2231.4350000000004,2,Churn Risk
12438,15,2.0,2032.65,1,Regular
12441,367,1.0,173.55,0,VIP
12442,4,1.0,172.06,3,Occasional
12444,22,5.0,2231.4350000000004,2,Churn Risk
12445,23,1.0,115.8,3,Occasional
12446,58,1.0,1002.31,3,Occasional
12447,244,1.0,469.89,0,VIP
12448,45,1.0,377.25,3,Occasional
12449,23,4.0,2231.4350000000004,1,Regular
12450,157,2.0,170.28,3,Occasional
12451,11,5.0,2231.4350000000004,2,Churn Risk
12452,17,2.0,381.47,3,Occasional
12453,135,1.0,707.09,3,Occasional
12454,57,1.0,576.0000000000001,3,Occasional
12455,74,4.0,764.76,1,Regular
12456,45,3.0,2231.4350000000004,1,Regular
12457,67,7.0,1505.43,2,Churn Risk
12458,72,1.0,442.88,3,Occasional
12461,95,2.0,628.08,3,Occasional
12462,19,1.0,381.88,3,Occasional
12463,54,4.0,1344.78,1,Regular
12464,11,6.0,606.9000000000001,1,Regular
12465,18,2.0,739.79,3,Occasional
12468,188,1.0,476.55,0,VIP
12471,3,8.5,2231.4350000000004,2,Churn Risk
12472,33,5.0,2231.4350000000004,2,Churn Risk
12473,30,5.0,2231.4350000000004,2,Churn Risk
12474,18,8.5,2231.4350000000004,2,Churn Risk
12475,54,1.0,696.6800000000001,3,Occasional
12476,16,8.5,2231.4350000000004,2,Churn Risk
12477,23,5.0,2231.4350000000004,2,Churn Risk
12478,4,1.0,584.39,3,Occasional
12479,12,1.0,511.6,3,Occasional
12480,29,3.0,2065.41,1,Regular
12481,23,8.5,2231.4350000000004,2,Churn Risk
12483,18,8.0,1873.24,2,Churn Risk
12484,33,6.0,2231.4350000000004,2,Churn Risk
12488,10,3.0,1148.24,1,Regular
12489,337,1.0,334.93,0,VIP
12490,6,8.5,2231.4350000000004,2,Churn Risk
12491,39,1.0,452.0,3,Occasional
12492,64,2.0,263.21000000000004,3,Occasional
12493,166,2.0,433.74,3,Occasional
12494,16,6.0,994.7,1,Regular
12497,82,1.0,505.80000000000007,3,Occasional
12498,22,3.0,403.7000000000001,3,Occasional
12500,24,8.0,1224.94,2,Churn Risk
12501,337,1.0,2063.79,0,VIP
12502,96,3.0,1749.22,1,Regular
12504,19,2.0,246.25000000000003,3,Occasional
12506,233,1.0,73.5,0,VIP
12507,135,2.0,294.30000000000007,3,Occasional
12508,27,2.0,397.88,3,Occasional
12510,143,2.0,691.45,3,Occasional
12512,67,2.0,132.18,3,Occasional
12513,113,1.0,596.69,3,Occasional
12515,354,1.0,317.1,0,VIP
12516,78,2.0,817.2800000000001,3,Occasional
12517,29,5.0,2231.4350000000004,2,Churn Risk
12518,1,5.0,2006.43,2,Churn Risk
12519,64,1.0,315.24,3,Occasional
12520,80,3.0,1310.18,1,Regular
12521,143,1.0,580.88,3,Occasional
12522,40,2.0,192.72,3,Occasional
12523,20,8.5,1530.08,2,Churn Risk
12524,10,6.0,2231.4350000000004,2,Churn Risk
12526,1,3.0,1283.06,1,Regular
12527,82,2.0,196.31,3,Occasional
12528,10,4.0,1079.02,1,Regular
12530,60,4.0,1474.7800000000002,1,Regular
12531,15,1.0,125.22,3,Occasional
12532,31,1.0,343.23,3,Occasional
12534,131,1.0,1018.18,3,Occasional
12535,92,2.0,704.05,3,Occasional
12536,44,3.0,2231.4350000000004,1,Regular
12538,30,1.0,362.55,3,Occasional
12539,23,2.0,2231.4350000000004,1,Regular
12540,20,8.5,2231.4350000000004,2,Churn Risk
12541,30,2.0,613.88,3,Occasional
12544,37,1.0,355.1,3,Occasional
12545,76,1.0,326.64,3,Occasional
12546,47,2.0,1098.3,1,Regular
12547,198,1.0,48.4,0,VIP
12548,167,1.0,95.2,0,VIP
12550,80,1.0,863.23,3,Occasional
12551,358,1.0,168.0,0,VIP
12552,39,2.0,356.22,3,Occasional
12553,9,7.0,2231.4350000000004,2,Churn Risk
12556,51,2.0,599.56,3,Occasional
12557,17,5.0,1233.6,1,Regular
12558,8,1.0,221.96,3,Occasional
12560,6,3.0,1920.61,1,Regular
12562,9,7.0,2231.4350000000004,2,Churn Risk
12566,87,1.0,336.05,3,Occasional
12567,23,8.5,2231.4350000000004,2,Churn Risk
12569,3,8.5,2231.4350000000004,2,Churn Risk
12571,40,2.0,519.61,3,Occasional
12572,9,2.0,962.82,3,Occasional
12573,228,1.0,160.54000000000002,0,VIP
12576,36,4.0,1048.98,1,Regular
12577,36,3.0,626.6,3,Occasional
12578,22,2.0,2231.4350000000004,1,Regular
12579,79,1.0,424.82,3,Occasional
12580,247,1.0,415.7,0,VIP
12581,40,1.0,197.71,3,Occasional
12582,239,1.0,224.6,0,VIP
12583,3,8.5,2231.4350000000004,2,Churn Risk
12584,4,8.0,1672.5700000000002,2,Churn Risk
12585,235,2.0,1685.5,1,Regular
12586,18,1.0,196.94000000000003,3,Occasional
12587,8,1.0,136.0,3,Occasional
12588,40,1.0,213.3,3,Occasional
12589,29,2.0,618.48,3,Occasional
12590,212,2.0,2231.4350000000004,1,Regular
12592,93,2.0,437.6,3,Occasional
12593,109,3.0,417.0,3,Occasional
12594,38,8.5,2231.4350000000004,2,Churn Risk
12596,52,2.0,499.23,3,Occasional
12597,20,3.0,2231.4350000000004,1,Regular
12598,10,7.0,2188.8,2,Churn Risk
12599,30,5.0,689.52,1,Regular
12600,29,8.0,1299.42,2,Churn Risk
12601,190,4.0,425.21,0,VIP
12602,59,1.0,153.12,3,Occasional
12603,22,1.0,76.80000000000001,3,Occasional
12604,80,1.0,75.68,3,Occasional
12607,61,1.0,1578.31,1,Regular
12609,79,2.0,787.32,3,Occasional
12610,23,5.0,1898.74,1,Regular
12611,53,1.0,1086.52,3,Occasional
12612,75,1.0,578.0400000000001,3,Occasional
12613,58,3.0,2231.4350000000004,1,Regular
12615,3,4.0,2066.59,1,Regular
12616,96,1.0,420.4,3,Occasional
